A1: Ladder,B1: plate2_A1,C1: plate2_H12,D1: plate3_A1,E1: plate3_H12,F1: plate4_A1,G1: plate4_H12
415.5161,607.2197,443.1598,439.1368,29641.36,359.473,628.3554
442.7483,673.6827,495.7742,486.7312,32846.09,394.6182,705.4388
467.9136,741.1,550.299,536.5704,36365.74,431.8286,786.5277
491.6313,808.2531,606.6846,588.7146,40097.72,470.2993,869.7946
515.1672,871.5418,663.5536,641.9536,44044.16,506.8647,954.6347
540.5101,929.7153,719.4312,693.8705,48189.48,546.2867,1036.302
563.715,980.8521,773.6533,743.1647,52548.97,585.3918,1115.704
586.6377,1026.695,824.1204,788.9582,57058.3,618.4182,1188.303
608.8359,1061.379,868.3466,828.6653,61489.67,646.65,1256.362
628.0903,1088.526,909.754,867.6504,65754.12,673.1804,1319.402
643.6597,1115.673,947.0616,899.3986,69711.92,697.3508,1374.085
656.8603,1136.811,978.5529,924.7547,73484.61,718.7072,1421.523
668.4313,1148.508,1001.784,946.0946,76902.98,733.2724,1458.826
674.9889,1153.313,1014.901,962.9517,79579.95,744.2041,1489.944
679.3088,1151.938,1018.962,975.5846,81768.2,750.7167,1510.01
681.2003,1141.941,1018.251,978.8444,82942.7,750.7574,1521.383
681.0012,1125.324,1011.793,973.5043,83409.48,747.3267,1522.86
679.0115,1102.349,999.1075,961.8844,83261.09,742.4329,1512.956
674.7711,1073.483,980.8169,944.0291,82132.07,729.0354,1493.283
666.2489,1033.157,957.71,922.2277,80465.55,711.4437,1463.497
653.7162,990.0356,932.9767,897.2942,78059.52,691.0744,1427.315
637.5146,947.5462,904.8987,868.0385,75016.47,668.8231,1385.138
619.7789,901.0199,872.0703,833.9651,71637.69,644.5175,1334.964
601.3191,848.2112,834.8954,798.4667,67698.81,616.8691,1277.394
581.862,794.1528,791.4242,761.0149,63416.54,585.3668,1215.031
562.3182,741.0318,742.59,722.0674,58986.15,558.3118,1150.003
542.3388,689.059,695.0932,678.6522,54489.27,522.1436,1081.35
521.8088,637.8284,647.2957,633.7816,50041.75,485.8406,1009.917
499.9978,590.2032,598.519,589.5679,45632.16,450.7557,938.3165
477.3603,543.1725,550.8923,545.5529,41356.93,417.2892,867.6728
453.5118,496.9084,504.458,501.1187,37360.13,383.5676,798.6622
426.8555,451.8951,459.5297,459.3298,33689,349.3177,732.6678
398.5761,409.5351,417.2037,417.6617,30398.5,319.219,670.4687
370.6741,370.4856,377.5648,380.5989,27385.32,287.6847,611.2834
343.5937,333.4854,341.0075,345.8343,24839.45,258.1217,553.637
317.1168,298.0907,308.0023,312.9749,22668.88,231.9814,500.6938
292.0065,267.5562,278.0801,282.6057,20708.87,210.8908,454.6387
268.7521,241.5133,251.7877,254.6271,19127.84,190.7018,413.8096
245.9474,218.7543,229.8846,228.5194,17794.16,170.3342,376.0615
225.4595,199.7019,209.86,205.2894,16632.23,152.4122,341.3955
205.8084,182.4379,191.3703,186.6165,15868.84,136.9874,310.9772
187.9039,166.2756,175.3961,168.3264,15151.56,120.4879,284.2979
171.2705,151.9784,160.5968,152.2717,14477.81,104.7119,260.7073
155.3472,140.1455,146.891,137.0768,13962.85,92.8078,239.5682
140.0595,130.2304,135.6658,125.8362,13492.21,81.61781,220.7809
125.9807,121.3151,124.3965,118.1771,13078.73,71.5085,204.1428
114.6622,112.1246,113.5438,110.9603,12705.75,63.30223,189.831
104.6879,105.0331,104.2166,103.7081,12355.07,57.02515,178.1705
96.46263,98.992,97.14503,98.01064,12043.22,53.4846,169.1756
88.9053,94.43626,92.68679,91.99751,11736.02,53.44704,162.0639
81.40585,89.45994,89.72512,86.44558,11432.28,54.98339,156.1581
75.16614,84.68619,86.33337,82.74986,11137.85,55.45091,151.2375
69.67002,80.2289,83.81888,79.49595,10859.11,51.64074,147.8542
65.62127,76.28029,81.14648,76.10174,10592.36,46.14448,145.4822
61.71535,73.8371,79.87825,72.58932,10338.68,41.91212,143.7152
58.41205,71.466,78.07114,69.37947,10099.65,39.4607,142.5179
55.81561,67.80597,77.05177,68.82431,9879.233,38.83382,141.9117
53.56122,63.28656,75.30429,65.24148,9611.339,37.98063,142.2326
51.45993,59.89857,72.90044,63.22876,9348.753,37.58767,142.5659
50.56187,56.10492,71.04042,61.14308,9112.527,38.10579,143.8441
49.80485,53.91965,69.99138,59.51036,8849.529,40.32463,145.6055
48.37591,52.49887,69.69429,57.50085,8573.017,41.6125,147.3613
46.91682,51.90746,69.74824,55.82558,8276.525,40.95793,149.2387
45.68064,51.72917,71.05125,55.82375,7966.717,39.64719,151.6967
44.13905,50.70431,73.33363,55.59072,7649.745,35.7374,154.0038
43.97246,51.69443,75.75517,55.69954,7348.288,32.00346,156.0295
43.23628,50.98737,78.14561,54.41051,7043.972,32.35606,157.754
42.99469,47.82217,80.38798,54.1116,6736.727,33.36432,159.3376
42.01852,46.37792,81.53443,52.28922,6448.222,35.62738,160.708
40.76623,43.53975,81.15559,51.50312,6164.509,39.68198,161.4451
40.144,41.41694,81.45904,51.78618,5886.65,43.3786,161.4973
39.57384,41.42149,80.00816,51.4949,5633.221,43.84536,161.718
38.87621,41.62347,79.2748,51.29407,5392.938,44.1729,161.1129
38.81794,41.3471,80.25336,50.63285,5175.402,45.03191,160.0354
38.70472,42.29323,81.43107,52.75355,4966.559,47.22279,158.7178
38.65472,42.02953,83.90976,52.46172,4763.832,48.07315,156.5333
38.97705,43.47912,85.84277,52.08096,4576.535,50.01699,153.5338
39.8418,42.1438,86.99509,52.7175,4394.106,53.18432,150.019
41.00098,41.00046,88.94424,53.74208,4215.705,56.56438,146.1519
42.58072,40.31438,89.53419,54.41728,4042.161,60.03685,142.0967
43.4432,40.35272,89.39528,55.31834,3873.383,63.89004,137.7599
45.17027,41.69923,89.87361,57.78999,3711.081,71.82563,133.3677
47.43853,43.75719,87.84349,58.48257,3564.934,75.32668,129.3485
49.93375,45.75911,86.35887,59.08088,3426.498,78.91032,125.4149
53.56874,48.17214,85.61819,59.09335,3300.158,83.6498,121.494
57.11368,51.5626,84.28115,59.40828,3170.206,88.28928,117.821
60.59791,54.76083,82.44873,59.11871,3042.558,91.31767,114.5197
64.72045,57.55594,80.75102,58.91484,2933.438,92.77302,110.7291
69.64572,58.26847,78.11798,60.56742,2828.125,94.51461,107.1876
75.58107,57.473,76.90668,62.89886,2725.793,92.73817,103.8657
82.28169,56.08639,76.42336,62.4353,2635.233,92.41663,100.8079
88.19581,55.79337,75.02873,63.74033,2551.367,92.8842,97.95135
96.37317,55.85905,74.0893,65.01578,2474.951,94.75799,95.28268
105.7978,55.43226,73.61748,66.0967,2408.129,96.68922,92.84035
116.1895,55.41762,72.9352,66.97174,2345.202,97.28432,90.47675
127.3656,54.95287,72.18973,67.6946,2287.841,97.28587,88.0783
138.9092,54.46899,71.90018,68.10156,2227.33,97.83765,85.58194
150.4162,55.98499,71.77701,68.05351,2168.811,102.3466,83.41394
163.1502,56.91588,71.82848,68.97532,2120.585,103.3588,81.20941
178.2818,56.63661,71.6139,70.22729,2070.821,104.0085,78.89461
192.5234,55.99458,73.41707,71.17914,2020.512,104.4876,76.62653
207.1402,54.83677,72.66452,70.31756,1972.884,105.9376,74.36938
222.5194,53.83392,70.57806,69.80196,1928.156,109.4847,72.0874
238.8961,53.74258,68.55028,70.17031,1886.034,113.9359,69.79888
