A1: Ladder,B1: Jono 2.3A cDNA 10F,C1: Nicky 2.3A cDNA 10F
0.5561686,0.4724011,0.4337835
0.5458689,0.4370275,0.4072466
0.6154666,0.3221598,0.468276
0.7056341,0.280983,0.4962091
0.8135982,0.363308,0.4748049
0.8528967,0.1715312,0.4403582
0.8461332,0.1352401,0.3902717
0.6989594,0,0.3938713
0.5765672,0.03970575,0.3928761
0.5165615,0.07949448,0.3629651
0.3864293,0.1742463,0.4123683
0.2889051,0.1906848,0.4378247
0.2918625,0.1489644,0.4661169
0.3268967,0.3065586,0.4540019
0.4405966,0.4766068,0.3615699
0.5466065,0.4133439,0.3695464
0.5536113,0.3298478,0.2862043
0.5057464,0.2751689,0.2285767
0.5496392,0.33953,0.2813792
0.600769,0.2597857,0.2998767
0.6004825,0.2866139,0.3161683
0.6057301,0.2186446,0.450047
0.456903,0.1222663,0.4915004
0.5388803,0.1519914,0.5363164
0.6965394,0.1805449,0.5759144
0.8821845,0.2551231,0.5389342
0.670321,0.2546396,0.4805698
0.516428,0.3329892,0.3470502
0.5081072,0.3915305,0.3776746
0.3386474,0.399189,0.2591095
0.164804,0.3396835,0.1730614
0.09621906,0.2883577,0.1982546
0,0.1542249,0.2275591
0.1374373,0.07437181,0.2741437
0.2403984,0.0412569,0.2988539
0.3963099,0.02809286,0.2082777
0.3480592,0.03557396,0.1988378
0.3756666,0.06376266,0.09607697
0.4934158,0.05521822,0.1217294
0.5120964,0.07766867,0.06421661
0.459774,0.0454216,0.06915903
0.396934,0.1522555,0.0864172
0.3121982,0.1265907,0.2303338
0.26226,0.2046371,0.3188081
0.2130122,0.2730422,0.3145857
0.2353673,0.2923231,0.2977571
0.2562714,0.2657995,0.2736201
0.1861434,0.2705879,0.2375035
0.227809,0.1798921,0.2712917
0.3214812,0.1349702,0.266202
0.3313298,0.1420975,0.1829834
0.3549895,0.09897947,0.3143196
0.3767428,0,0.4800525
0.4252853,0.06824589,0.5518579
0.4500775,0.04042625,0.5185556
0.3679738,0.02684164,0.4081163
0.2777524,0.02976179,0.3247037
0.1345897,0.09566832,0.2109694
0.09691381,0,0.2015171
0.09842396,0.05106831,0.06647682
0.1789455,0.1463161,0
0.1801167,0.0767684,0.04099369
0.1969347,0.04600811,0.02711821
0.2534304,0.05099201,0.0176487
0.2542095,0.06192303,0.007946014
0.2574329,0.125536,0.06160831
0.4250865,0.1840577,0.1757183
0.4224973,0.1719165,0.2061791
0.4952607,0.1233234,0.2790093
0.4913721,0.1793962,0.3693786
0.3957691,0.1672964,0.4099221
0.1752048,0.1466589,0.303082
0.07501411,0.03248644,0.2578568
0,0,0.1616597
0.1577797,0.1060038,0.1390724
0.264421,0.2018957,0.1657715
0.4185691,0.2417116,0.1131678
0.4693642,0.2903829,0.04019451
0.5460839,0.3407593,0.03267908
0.4976401,0.3138666,0.1390581
0.3333101,0.237329,0.1465726
0.1579781,0.1610799,0.184411
0.04980707,0,0.2876439
