Wavelength,Absorbance
416,0.045
416.5,0.044
417,0.044
417.5,0.041
418,0.037
418.5,0.034
419,0.03
419.5,0.025
420,0.025
420.5,0.023
421,0.025
421.5,0.025
422,0.027
422.5,0.028
423,0.026
423.5,0.024
424,0.025
424.5,0.027
425,0.034
425.5,0.037
426,0.043
426.5,0.045
427,0.047
427.5,0.046
428,0.044
428.5,0.04
429,0.038
429.5,0.041
430,0.046
430.5,0.05
431,0.054
431.5,0.054
432,0.053
432.5,0.051
433,0.046
433.5,0.038
434,0.033
434.5,0.035
435,0.035
435.5,0.039
436,0.042
436.5,0.045
437,0.047
437.5,0.049
438,0.044
438.5,0.041
439,0.039
439.5,0.038
440,0.035
440.5,0.034
441,0.036
441.5,0.036
442,0.034
442.5,0.036
443,0.032
443.5,0.032
444,0.029
444.5,0.025
445,0.025
445.5,0.025
446,0.023
446.5,0.024
447,0.022
447.5,0.023
448,0.02
448.5,0.018
449,0.019
449.5,0.022
450,0.029
450.5,0.036
451,0.04
451.5,0.046
452,0.046
452.5,0.045
453,0.039
453.5,0.034
454,0.031
454.5,0.029
455,0.03
455.5,0.032
456,0.034
456.5,0.04
457,0.04
457.5,0.038
458,0.033
458.5,0.028
459,0.022
459.5,0.018
460,0.014
460.5,0.013
461,0.017
461.5,0.025
462,0.032
462.5,0.034
463,0.033
463.5,0.034
464,0.035
464.5,0.034
465,0.032
465.5,0.032
466,0.033
466.5,0.035
467,0.038
467.5,0.034
468,0.032
468.5,0.03
469,0.029
469.5,0.029
470,0.03
470.5,0.031
471,0.029
471.5,0.029
472,0.028
472.5,0.03
473,0.034
473.5,0.038
474,0.04
474.5,0.047
475,0.051
475.5,0.051
476,0.047
476.5,0.041
477,0.037
477.5,0.036
478,0.033
478.5,0.031
479,0.026
479.5,0.026
480,0.028
480.5,0.03
481,0.032
481.5,0.03
482,0.033
482.5,0.034
483,0.03
483.5,0.026
484,0.019
484.5,0.015
485,0.016
485.5,0.014
486,0.012
486.5,0.006
487,0.004
487.5,0.003
488,0.002
488.5,0.004
489,0.009
489.5,0.016
490,0.021
490.5,0.025
491,0.03
491.5,0.031
492,0.03
492.5,0.03
493,0.029
493.5,0.028
494,0.029
494.5,0.03
495,0.032
495.5,0.034
496,0.039
496.5,0.039
497,0.039
497.5,0.04
498,0.041
498.5,0.041
499,0.04
499.5,0.039
