A1: Ladder,B1: Jono_cDNA_PLC_10F,C1: Jono_Prot_PLC_10F,D1: Nicky_cDNA_PLC_10F,E1: Nicky_PLA_PLC_10F
36.23311,87.36537,379.8559,189.4359,193.2682
41.39964,82.83141,393.7895,185.1784,216.5038
46.7425,78.20633,407.3047,180.5303,241.4977
52.67137,73.25478,418.3055,173.6006,264.1993
58.9844,68.02152,426.8298,166.8599,288.6844
65.62455,62.77549,432.0786,159.3704,311.7403
72.15004,57.8402,435.475,151.1119,333.6991
79.05179,53.26589,434.1524,142.5357,354.1152
85.75586,48.70842,429.9446,132.9001,375.2216
92.05602,44.4972,423.8502,123.2142,395.1012
98.04594,40.02884,416.2487,113.6996,411.09
104.6235,35.96739,404.8381,104.5989,424.2542
110.8825,32.33707,392.467,95.94473,434.9636
117.3663,28.81717,379.1418,87.03249,441.9276
123.4761,25.67508,363.5057,78.97722,446.5489
129.6094,22.99644,347.0451,71.63927,447.2108
135.4908,20.72353,329.154,64.22618,446.0872
141.3986,18.677,309.4481,57.25487,441.6185
146.8943,16.85306,289.4751,50.75076,434.9504
152.2523,15.36827,269.1403,45.03015,426.6981
156.8581,13.83823,248.9201,40.00775,413.4519
161.5625,12.45882,228.2577,35.79459,398.1695
165.925,11.54757,209.6795,32.03236,382.4124
169.105,10.73262,191.6134,28.70044,365.3202
171.7426,10.00489,173.4226,25.51998,346.5011
172.4814,9.180968,156.7445,22.80238,326.5986
172.8984,8.534259,140.9836,20.51204,306.885
172.5241,7.939931,126.5829,18.39269,286.1854
172.049,7.526636,113.5795,16.67641,265.6103
171.2022,7.238461,101.8105,15.18383,245.6754
169.0588,6.677586,91.18361,14.04127,224.4129
166.1473,6.319495,82.27034,12.9558,205.0282
162.8722,6.234968,74.6586,11.98526,186.1749
157.567,6.147756,66.72923,11.20741,168.4177
151.7382,6.034944,60.35276,10.35465,151.3683
143.814,5.623194,54.84028,9.47616,135.401
136.316,5.450262,49.55949,8.649286,121.1461
128.3064,5.411973,45.28511,7.892573,108.0837
120.7525,5.212399,41.73481,7.384149,96.4729
112.6332,5.014473,38.57119,6.980762,86.44792
104.4067,4.763384,35.94703,6.806795,77.29714
96.28255,4.621649,33.4859,6.431825,69.17919
88.57677,4.645051,31.32333,6.144994,62.03695
80.52838,4.504983,29.54855,5.851719,55.86647
72.95215,4.352044,27.71656,5.402856,50.39823
65.92441,4.161671,26.07561,5.014236,45.79378
59.14122,4.237537,24.64923,4.552244,41.78244
52.82547,4.166617,23.40152,4.173303,38.46681
47.22783,3.993296,22.27796,3.960876,35.69957
41.85651,3.934013,21.27339,3.734388,33.07648
37.22246,3.932169,20.42094,3.619061,30.87976
33.21553,3.953526,19.62186,3.4835,28.86519
29.69151,4.128398,18.98305,3.354218,27.05675
26.50191,4.11254,18.45304,3.242931,25.58736
23.85646,4.211458,17.79427,3.216373,24.15105
21.80566,4.211515,17.4364,3.143446,22.80812
19.77828,4.389588,17.0433,3.123913,21.62027
18.12069,4.34831,16.66688,3.088955,20.58342
16.71663,4.346648,16.50111,3.150427,19.86385
15.58274,4.202996,16.29902,3.044656,18.92136
14.54657,4.101263,16.23423,3.143113,18.06328
13.68519,4.087865,16.22801,3.250517,17.332
12.94964,4.067747,16.16014,3.351434,16.7261
12.32008,3.973572,16.20717,3.471366,16.18507
11.78815,3.996571,16.33768,3.569616,15.59783
11.50374,3.949577,16.46101,3.59927,15.13737
11.38947,4.0628,16.48976,3.721539,14.85138
11.2248,4.073545,16.69155,3.858643,14.63873
11.3252,4.218617,16.98698,3.946369,14.52541
11.50849,4.258691,17.14694,3.968241,14.37884
11.80465,4.306194,17.37728,4.088055,14.19351
12.25961,4.339225,17.44747,4.215368,14.1315
12.88146,4.427155,17.51264,4.501601,14.02396
13.46824,4.405181,17.54802,4.63617,13.77428
14.20517,4.527656,17.48927,4.833326,13.48795
15.06342,4.556829,17.39871,5.025371,13.52276
16.12811,4.474236,17.4545,5.352922,13.5754
17.31114,4.3888,17.52613,5.705892,13.68685
18.63269,4.545646,17.63811,5.953128,13.74933
20.07555,4.468971,18.11988,6.087554,13.96625
21.6263,4.476307,18.63235,6.282631,14.10191
23.33996,4.614612,19.20903,6.537367,14.27568
25.12139,4.654587,19.67935,6.887377,14.41677
26.84515,4.64985,20.20011,7.140206,14.67035
28.73068,4.717419,20.89423,7.357512,14.89385
30.65521,4.716859,21.57508,7.525379,15.36343
32.65253,4.737468,22.51257,7.578966,15.87258
34.72651,4.772423,23.41059,7.516677,16.57232
36.63982,4.921688,24.64117,7.461211,17.40094
38.87269,4.969795,26.14955,7.202436,18.40046
41.22792,5.123363,27.55809,6.972807,19.56615
43.66195,5.321493,29.04698,6.720686,20.7738
46.34978,5.292904,30.53473,6.693891,22.13888
49.35269,5.377384,32.05498,6.636011,23.72203
52.54955,5.423384,33.83825,6.578534,25.48079
56.06664,5.640942,35.28287,6.54778,27.13386
60.02953,5.897468,37.06224,6.415262,29.24123
64.39364,6.188162,38.91512,6.343987,31.2254
69.23916,6.452967,40.98905,6.305065,33.61416
74.94161,6.782008,43.01558,6.22732,36.09177
80.72137,7.066611,45.44801,6.328085,38.97919
86.32306,7.451562,48.14729,6.445742,42.19421
92.06383,7.688146,51.56167,6.793574,45.80972
98.04387,8.015386,54.98278,7.166056,50.22844
103.1786,8.412934,59.01525,7.469495,54.99873
107.347,8.982534,63.1943,7.913921,60.00649
109.9832,9.639531,67.86723,8.373607,66.0796
111.175,10.47656,72.59766,8.917068,72.56426
110.8793,11.26802,77.5413,9.720976,79.11567
108.832,12.0861,82.4224,10.19331,86.35262
104.409,13.11558,87.31641,10.75547,94.24753
98.08815,14.03811,92.65042,11.48573,102.8929
90.54868,14.92501,97.38206,12.3279,111.8443
82.61453,16.05606,101.5983,13.26032,120.731
73.79073,17.36014,105.4216,14.18239,128.5859
64.92053,18.87873,108.7441,15.47559,135.7058
56.54244,20.66912,111.4393,16.83342,141.6207
48.98323,22.43111,113.038,18.31764,145.8446
42.5751,24.18866,113.9918,19.95195,147.1251
37.45169,25.75698,114.6457,20.97934,147.6043
33.49903,27.37792,116.2506,22.13138,146.0195
30.77291,28.76501,118.4428,23.24498,143.9667
29.15789,30.18199,121.0534,24.08151,141.7696
28.52788,31.80472,124.755,24.86102,139.6459
28.8096,33.40374,129.2068,25.69435,137.9343
29.78273,35.12312,135.3769,26.90746,137.6859
31.43879,37.03961,142.4385,28.04285,138.6519
33.36317,39.19762,149.8748,29.39181,141.3789
35.6613,41.63375,156.0644,31.43954,145.3051
38.40915,44.432,161.8575,33.91599,151.5467
41.42651,47.78088,166.7039,37.07368,159.902
44.8768,51.98373,167.784,40.53954,170.6395
48.62273,56.83461,166.0744,44.85755,184.1513
52.67902,62.14982,159.512,49.90027,198.6072
57.38564,68.01068,149.165,55.72429,215.0921
62.56629,74.8423,136.3464,62.51243,234.0555
69.09035,81.83418,121.5071,70.40575,254.2629
76.72984,89.78847,106.1471,80.01971,274.8947
86.13809,98.70602,90.43564,90.58868,295.3681
97.96406,108.7388,76.87768,102.721,316.7426
112.8789,119.8967,65.60969,116.2637,335.6544
129.5685,132.7794,56.28685,132.0367,349.269
148.3592,146.8369,49.65341,148.7672,356.2563
167.7306,161.6599,44.13183,167.674,354.5278
186.8643,177.8982,40.35599,187.0076,344.763
202.6709,195.2347,37.78063,210.0299,325.9777
212.5975,212.7446,36.11089,236.7025,300.3312
213.3268,232.4139,35.06686,263.5329,268.9854
205.0762,251.9216,34.52378,293.4307,236.0677
188.6682,273.1017,33.88911,325.8126,205.5562
165.9972,294.3207,33.62959,359.1686,177.3045
138.7041,316.7646,33.56757,395.4739,153.2218
111.6303,338.5339,33.67002,431.5151,133.6079
86.716,360.591,33.73017,469.498,119.2628
67.11619,383.0372,33.8413,506.561,109.1546
52.28808,405.0971,34.15697,543.4998,101.631
41.94779,426.7245,34.46519,579.0356,97.16212
34.96482,448.0614,34.69753,611.6597,93.82055
30.79851,466.7948,34.73703,640.5292,91.58424
28.81472,484.3938,34.34256,666.767,90.52937
28.06894,500.2094,34.17433,689.4775,89.8404
28.21347,513.0656,33.93128,709.5637,89.16786
29.28956,523.9506,33.71441,725.8956,87.9872
31.19886,533.0616,33.3788,735.7343,86.86678
34.10646,539.6462,33.0551,741.4829,85.75624
38.09319,544.9979,32.79079,743.4784,83.95065
43.87555,549.2851,32.39906,744.1536,81.7077
51.51849,550.0385,31.80774,740.3344,79.15482
61.07211,548.3285,31.1238,733.4993,76.11715
73.20432,544.7078,30.50297,724.3512,73.20837
88.74936,539.6982,29.84558,712.9187,70.10294
108.5788,532.0561,29.25729,698.5012,67.26906
132.3615,524.4198,28.83133,681.0289,64.19517
160.214,515.0858,28.35336,658.7644,61.40159
190.3713,502.5215,27.8295,636.7661,58.9758
219.5578,490.5501,27.24348,613.7317,56.65677
243.4163,478.7762,26.65331,590.9281,54.63342
256.9976,464.2683,25.83792,566.6649,52.75745
258.1349,451.6711,25.1364,545.2028,51.23908
245.8826,436.852,24.26598,520.0627,50.12299
222.2753,423.728,23.41544,495.3985,49.13553
190.9262,412.3437,22.6748,471.2568,48.44648
155.603,401.1574,21.98183,446.644,47.91541
121.9735,390.0013,21.35533,422.5508,47.84433
93.36408,377.7041,20.7218,399.3048,47.67772
70.8632,366.5667,20.08692,376.011,47.62854
54.45666,356.3389,19.72087,354.2767,47.76947
43.03147,345.9452,19.32169,333.8957,48.16463
35.85785,335.8978,19.00955,314.397,48.51033
31.19249,323.9579,18.74708,294.9276,49.14542
28.48584,315.2117,18.63857,276.6935,49.46029
26.91336,306.8451,18.53958,259.514,50.10336
25.79229,296.9195,18.35769,242.7211,50.99677
25.0702,286.1073,18.11672,227.0409,51.87372
24.473,276.0097,17.69544,212.9541,52.37584
24.19308,266.2713,17.42161,199.7152,53.04699
