A1: Ladder,B1: Luke_PLA2.3b_10F,C1: Nicky_PLA2.3b_10F
0.6308751,0.7491765,0.9001856
0.5833445,0.6683311,0.8076239
0.6018391,0.6469164,0.710556
0.6929703,0.610393,0.712791
0.6976323,0.5912943,0.5412445
0.6791902,0.7219825,0.563004
0.5760117,0.6342988,0.696938
0.6144571,0.6711669,0.6647162
0.6228061,0.6834345,0.6889482
0.5783825,0.6263566,0.5683551
0.5463362,0.6309538,0.5755177
0.5008373,0.6105928,0.5233488
0.5872383,0.4844732,0.5244431
0.5484977,0.5207391,0.5476694
0.5080085,0.589129,0.5308795
0.3949423,0.6603684,0.6617956
0.4237709,0.5277805,0.7249451
0.4895124,0.4730873,0.5991068
0.5049806,0.3651991,0.5327091
0.4525366,0.2597961,0.4777904
0.4064002,0.2861633,0.4721618
0.335238,0.2678232,0.3895006
0.2860551,0.2101965,0.3880258
0.3065042,0.3446107,0.5153446
0.4653745,0.4769611,0.6322966
0.56141,0.4650617,0.8112612
0.7382865,0.4096179,0.8073902
0.7196088,0.2435131,0.8231912
0.637804,0.2011414,0.7868638
0.4658055,0.2105656,0.7332907
0.2297511,0.2863097,0.5982723
0.03053284,0.354785,0.4999933
0,0.3492317,0.4190097
0.1154308,0.3720837,0.447083
0.2790008,0.4765773,0.4519839
0.4538507,0.4463887,0.4976411
0.6272545,0.5160279,0.5066018
0.6043935,0.3808484,0.457284
0.5378881,0.4679451,0.3274584
0.513804,0.5654035,0.2159853
0.3107457,0.5715461,0.1675301
0.224227,0.5448074,0.1400542
0.2470117,0.3560176,0.02841473
0.1977868,0.2419529,0
0.1781249,0.1790738,0.0839529
0.1798644,0.1087761,0.1560669
0.2731881,0.1472802,0.2158389
0.3090463,0.2019773,0.2369499
0.3280783,0.3333969,0.2417865
0.3721118,0.3880949,0.2983894
0.3421884,0.3128767,0.3621764
0.3574491,0.2070518,0.3583441
0.4005694,0,0.3018742
