A1: Ladder,B1: Luke_PLA2.3b_10F,C1: Nicky_PLA2.3b_10F
35.5694,101.0468,90.33228
40.62416,100.2363,88.77222
46.79399,99.66505,87.66032
54.2128,99.07784,86.78894
63.15995,98.54872,85.56277
73.03608,97.90596,84.65916
85.15626,97.68694,83.59991
100.2929,97.15764,82.87897
118.0787,96.97574,82.29552
138.1089,96.86091,81.85825
160.417,96.69719,81.61841
183.0989,96.8114,81.42719
202.5298,96.86026,81.66603
218.2959,97.43627,81.77339
227.2804,98.32406,82.02538
227.453,99.01224,82.41389
218.9799,99.88797,82.69067
202.2903,101.1239,83.44479
179.0079,102.871,84.02402
151.9797,104.7479,84.5126
124.3555,106.1745,85.4456
97.97342,108.2574,86.46689
74.37245,109.6369,87.74833
56.48216,111.5429,88.55735
43.5235,112.9138,89.56411
34.95152,114.0153,90.67641
29.56932,114.2972,91.51407
26.17163,114.9897,92.11751
24.46251,115.8712,92.24041
23.46409,116.2717,92.3856
23.15129,116.6745,92.46116
23.02083,117.4917,92.48726
23.35555,117.4569,92.42703
23.97976,118.0969,92.07432
25.32247,119.2922,92.41393
27.07513,120.6785,92.90436
30.0961,121.1309,93.36766
33.99977,121.8959,93.90773
39.68405,123.1568,94.37737
47.99467,123.5294,95.07236
59.48872,124.5907,95.32947
75.4355,125.664,95.42626
96.66818,125.9585,94.7178
121.9281,126.2556,93.72617
151.2137,126.7554,92.57968
182.3119,126.9279,90.46905
212.7745,126.5862,88.18906
238.1734,125.406,86.24832
255.7244,124.7931,84.78526
261.5638,123.7398,84.2185
254.7003,123.6452,84.03209
236.0435,123.0438,84.54367
208.5137,123.0623,85.06404
175.1462,123.374,85.96049
140.6067,124.4393,86.51689
108.5247,126.76,86.43973
81.47232,128.3082,86.61222
60.82133,129.8689,86.98585
46.38392,132.5549,87.74342
36.38908,135.1835,88.88528
30.41179,137.713,90.14676
26.5739,139.8784,91.21538
24.88456,142.3754,92.34737
24.21666,144.7023,93.99818
23.62184,146.2244,95.76583
23.31512,147.5421,97.50616
22.97276,147.5453,99.40042
22.65355,146.7232,99.87621
22.43648,145.5503,99.6424
22.39182,143.8401,98.58955
22.335,142.105,95.89899
22.57684,139.7061,92.07368
23.39193,137.2921,87.86511
24.64537,135.2137,84.03028
27.2187,132.7435,80.39901
31.02236,130.8909,77.1753
36.97843,129.4351,74.20382
46.7811,126.6801,71.16971
61.37362,124.3448,68.47334
82.24231,122.1867,66.02741
109.108,120.8936,63.41257
141.8274,119.516,61.0496
178.1934,118.6165,58.55566
212.2769,117.7469,56.16928
241.6467,117.2768,53.95704
260.8507,116.6948,51.93326
267.2092,116.0046,49.87302
259.2195,114.6048,48.38541
238.3173,113.039,47.02891
208.1918,110.6592,45.93971
172.9223,109.0819,45.01395
137.6645,107.2765,44.26107
105.7533,104.8584,43.44241
78.33445,102.2605,42.42709
58.26703,99.85726,41.32153
44.4407,97.27553,40.18456
35.61107,95.12399,38.8222
29.84511,92.72292,37.46181
26.7071,90.1186,36.33698
25.00131,87.70211,35.08508
23.8532,86.09608,33.8938
23.23743,84.3241,33.17347
22.7259,82.60343,32.43247
22.2921,80.9545,31.68457
21.81229,79.57922,31.02341
21.40209,78.36144,30.6771
21.03357,77.21132,30.25637
20.52082,75.81377,29.8938
19.99609,74.63567,29.67235
19.52985,73.91348,29.62095
18.81048,73.38524,29.35132
18.30863,72.75877,29.25479
17.79952,72.40778,29.16284
17.10705,72.15421,28.7993
16.35822,71.93887,28.50853
15.84003,71.72478,28.14664
15.32748,71.58394,27.56613
14.9622,71.65132,27.07677
14.60693,71.72609,26.50545
14.3514,71.9685,26.13041
14.47589,72.06357,25.56829
14.70004,71.95383,25.30652
15.09433,72.1207,25.24765
15.49571,72.12075,24.93077
16.43214,72.18187,24.79215
19.02608,72.29831,24.58624
23.67494,72.51248,24.29696
30.94524,72.72095,24.10447
43.13149,72.94862,23.84104
62.55017,73.23854,23.5671
90.31729,73.63786,23.33363
125.0027,73.9854,23.09914
163.0958,74.30739,22.90379
200.348,74.44193,22.6751
231.7874,74.59567,22.52369
250.3056,74.77495,22.27562
253.7663,74.89274,22.0548
241.0944,74.82156,21.90518
215.6042,74.45642,21.79261
183.2841,74.12006,21.56588
149.0723,73.61922,21.41734
117.1799,72.89635,21.12971
90.35702,72.25945,21.05309
70.55619,71.6466,20.88847
57.01658,70.98864,20.73355
47.07449,70.73439,20.58642
41.19462,70.76649,20.50669
37.12188,70.89915,20.31783
33.84486,70.80461,20.17985
32.02839,70.79504,19.9273
30.52443,70.83504,19.77976
29.25475,70.858,19.58509
28.13078,70.78835,19.53932
27.04656,70.68217,19.26013
25.8583,70.44599,19.18832
24.95409,70.24326,19.11811
24.12363,69.96643,19.07722
23.07338,69.52046,18.85307
21.91906,68.92977,18.86786
21.11543,67.96909,18.80084
20.43189,67.34784,18.75132
19.95067,66.76433,18.64788
19.99659,66.27819,18.47901
20.11405,66.10878,18.3228
20.20874,66.05537,18.114
21.5354,66.0936,17.91685
24.59175,66.01282,17.72583
30.95019,65.7077,17.53439
41.35222,65.28517,17.46296
58.6017,64.50325,17.32933
85.26917,63.86961,16.86767
119.2946,63.29148,16.57065
158.8741,62.62808,16.25148
197.3061,61.96756,16.07573
228.8217,61.47829,15.89215
248.262,61.0139,15.85576
250.9651,60.40296,15.71634
237.573,59.57014,15.66775
209.8161,59.14533,15.61174
174.7822,58.72195,15.47719
139.1068,58.12759,15.09773
105.8033,57.58486,14.91873
79.32833,56.8487,14.75763
59.66349,56.25538,14.74011
46.58744,55.82588,14.54807
38.09255,55.28278,14.28398
32.30979,54.77187,14.10562
28.83669,54.41364,13.99452
26.45903,54.29616,13.9816
24.90656,53.88866,13.8208
23.87494,53.49676,13.67068
22.64891,52.93072,13.49228
21.62215,52.27725,13.41411
20.80961,51.78053,13.40822
20.06879,51.16708,13.17441
19.15424,50.44853,13.02851
18.29666,49.67401,12.99878
17.34906,49.06115,12.88498
16.50746,48.25103,12.90352
15.78456,47.31598,12.8645
15.1101,46.54547,12.91997
14.33346,45.63923,12.86082
13.70996,44.94047,12.8594
13.21308,44.28168,12.71777
12.93731,43.66803,12.53954
12.4912,42.84443,12.28567
12.2005,42.05715,11.85283
11.91298,41.50985,11.40134
11.80588,40.82376,11.05326
11.81272,40.15019,10.82566
11.76684,39.66142,10.81998
11.66424,38.9479,10.65349
11.54313,38.40051,10.67894
11.49408,37.81638,10.64972
11.43507,37.27438,10.66999
11.23093,36.55658,10.68535
11.30777,36.0816,10.68185
11.26343,35.54554,10.7139
11.3324,34.93764,10.65802
11.54381,34.27304,10.60558
11.94464,33.87563,10.53223
12.30646,33.19747,10.40271
12.61005,32.70649,10.3693
13.11281,32.35152,10.33259
13.82821,31.92071,10.36699
14.62661,31.5875,10.39764
15.94671,31.1749,10.50979
18.80841,30.72798,10.28247
24.6124,30.19998,10.11694
35.37885,29.85358,9.933471
51.49134,29.63771,9.664875
75.92214,29.20194,9.466503
108.677,28.88132,9.255377
146.1619,28.4622,9.168379
183.9255,27.90042,9.158311
214.7603,27.39907,9.172544
234.0152,26.91161,9.169277
237.937,26.62099,8.971132
226.1287,26.17529,9.004468
201.3273,26.04472,8.993735
167.4817,25.79333,8.91819
132.7384,25.42414,8.809507
101.3051,25.11308,8.78461
75.29869,24.77386,8.688094
56.50789,24.42547,8.602468
43.34805,23.88698,8.658324
35.04086,23.49599,8.582711
29.45017,23.11558,8.475649
26.0118,22.64701,8.349177
23.83392,22.14901,8.482054
22.30993,21.71013,8.46951
21.0741,21.25789,8.402604
20.01163,20.91451,8.357627
19.02431,20.78707,8.270664
17.95911,20.55415,8.248141
16.9516,20.09063,8.251411
16.0273,19.90018,8.192933
15.12284,19.71426,8.046835
14.36592,19.53112,7.914102
13.67252,19.14714,8.03984
13.24572,19.0176,7.925208
12.71698,18.8399,7.884629
12.50066,18.5433,7.826074
12.23433,18.39145,7.791627
12.05391,18.18544,7.851707
12.02964,17.89932,7.893387
12.05339,17.66684,7.776039
12.11302,17.28467,7.587888
12.30161,16.92312,7.468987
12.78995,16.63501,7.485694
13.62181,16.306,7.450185
14.73615,16.16236,7.464202
16.9756,15.99373,7.431937
20.54759,15.93607,7.51607
26.87395,15.83921,7.607007
37.35147,15.66337,7.560981
53.36584,15.40691,7.44888
75.96904,15.11669,7.264904
105.5055,14.82183,7.172688
139.2417,14.50387,7.098924
172.1742,14.16984,7.02286
198.9877,14.12565,6.922987
214.6765,13.98669,6.846939
216.5699,13.7645,7.004764
204.4639,13.67949,6.891063
181.114,13.55148,6.841099
150.7169,13.41149,6.929652
118.5437,13.28184,6.859204
89.97099,13.06892,6.846157
66.94759,12.79325,6.689485
49.72892,12.59508,6.694152
37.90783,12.49989,6.584856
29.96605,12.27099,6.597135
25.25403,11.97327,6.705201
22.17621,11.86933,6.539637
20.45896,11.73633,6.576074
19.20565,11.57386,6.635532
18.13062,11.53563,6.664772
17.41311,11.41262,6.69436
16.8643,11.32477,6.677204
16.36664,11.18548,6.658528
16.02867,11.18038,6.679016
15.72262,10.9122,6.637015
15.63722,10.81682,6.550185
15.82415,10.75809,6.456556
15.83727,10.66051,6.484676
16.04296,10.58938,6.530186
16.63211,10.61313,6.707301
18.55792,10.50417,6.800195
22.15907,10.39472,6.821403
29.2802,10.11158,6.730314
42.22675,9.871824,6.798267
61.82925,9.601604,6.700249
90.8585,9.649513,6.723257
125.2607,9.60075,6.829562
160.2177,9.471266,7.008659
190.3084,9.470985,7.18756
210.1762,9.459849,7.384499
216.7362,9.306908,7.428705
207.4089,9.369046,7.435082
185.8388,9.224954,7.37044
156.653,9.15239,7.348783
124.7599,9.185812,7.355625
96.63567,9.218948,7.443287
72.83331,9.168993,7.501804
54.73044,8.977227,7.594893
41.7555,8.889175,7.812839
33.08753,8.877238,7.933667
27.41821,8.76891,8.067921
23.18526,8.941597,8.281163
20.64214,8.87634,8.601545
19.05074,9.017139,8.883132
17.96217,9.212509,9.197546
17.1037,9.230246,9.537156
16.582,9.324477,9.870764
16.09257,9.379437,10.17991
15.82776,9.577725,10.52054
15.67632,9.788519,10.83405
15.67266,10.06752,11.12842
16.03093,10.46194,11.60177
16.46087,10.86812,12.30652
17.65041,11.52555,13.19452
21.15017,12.16871,14.23015
28.27005,12.82588,15.63804
43.41917,13.56961,17.1059
68.04932,14.54616,19.09295
101.6198,15.63179,21.40351
142.2343,17.39301,24.58156
183.8466,20.984,29.57232
219.4635,27.43925,41.65093
242.603,39.94112,62.13725
249.1871,58.0675,96.9488
238.0284,84.41201,152.3049
212.8274,119.4971,224.0491
180.5431,157.9061,298.2982
145.8795,191.9462,362.9176
113.1982,216.4084,405.4823
86.40536,227.88,418.5317
65.32008,224.1208,400.6857
49.6951,206.7585,357.6869
38.13597,180.3711,294.5942
29.53705,148.2482,228.6415
22.93262,118.0691,172.8961
18.68828,93.35329,129.231
15.87505,73.08928,94.89521
13.877,56.06992,69.95483
12.19434,43.16481,51.60365
10.75791,33.50092,38.83283
9.722371,25.94759,30.58824
8.860197,20.49438,25.07245
7.886611,16.88982,20.40178
7.333928,14.19856,17.42211
6.940309,12.23744,15.14439
