A1: Ladder,B1: P8,C1: P8 10F
84.70848,1066.158,236.408
72.36681,976.1016,259.8405
60.04356,870.8818,278.0504
48.81836,751.1848,290.0128
39.36172,630.5971,295.05
31.7333,520.1129,290.4103
26.44025,423.4742,275.286
22.78895,343.7152,253.8912
19.93389,277.3892,227.1166
17.67942,227.5651,196.315
16.13356,190.16,165.9764
14.98097,164.2099,137.32
14.00516,146.9484,112.2153
13.30716,135.4041,92.08788
12.79619,126.9747,76.66047
12.66478,121.187,63.94932
12.93465,117.036,53.52464
13.49738,113.4005,46.70155
14.31508,110.2345,41.60194
15.8201,107.0711,38.32546
18.2475,103.7425,36.33816
21.79811,100.521,34.66709
26.69165,97.07348,33.31783
33.08656,92.97047,32.19828
41.5508,88.64484,31.10887
51.60571,84.12914,30.05039
63.39075,79.32137,29.00732
76.39622,74.27432,28.09565
89.61836,69.37003,27.22378
102.6112,64.74126,26.40647
114.3225,60.37919,25.57612
123.5897,56.2244,24.69814
129.064,52.49584,23.55042
129.8649,48.88589,22.54166
126.3516,45.4352,21.44987
118.0882,42.44984,20.31682
106.3295,39.62144,19.20166
92.47054,36.87849,18.04012
77.834,34.26066,16.97429
64.07928,31.82492,15.92017
52.12357,29.63327,14.85963
42.35403,27.43196,13.90851
34.6883,25.72274,12.99627
28.82557,24.20244,12.17932
24.6653,22.65756,11.55318
21.44226,21.35928,10.98854
18.85892,20.26977,10.33632
16.98674,19.29915,9.808782
15.65197,18.26916,9.420687
14.50038,17.37546,8.965045
13.68955,16.57516,8.560825
13.21979,15.79881,8.189094
12.84132,15.27413,7.905609
12.32666,14.80646,7.582312
12.01386,14.18633,7.354079
11.82047,13.60818,6.992789
11.84215,13.02803,6.804396
12.16352,12.51671,6.700445
12.95278,11.91393,6.618909
14.34825,11.47809,6.5388
16.87926,11.05936,6.464219
20.65373,10.74361,6.406734
26.01342,10.30322,6.382237
32.95979,9.965537,6.184819
41.9323,9.698196,6.077938
52.85307,9.382007,5.827054
65.11288,9.049748,5.623324
78.59476,8.710277,5.391394
92.25508,8.572779,5.276471
104.7073,8.54134,5.174356
115.0207,8.432726,5.207456
121.8483,8.495996,5.164091
124.9957,8.479972,5.079238
123.4233,8.519937,5.063046
117.775,8.51581,5.045796
108.5751,8.535334,4.889359
96.93454,8.474668,4.794625
84.49328,8.421651,4.770844
71.75044,8.571657,4.757516
59.96042,8.41182,4.785174
49.83093,8.143392,4.943784
41.51982,8.119683,5.01362
34.87466,7.980624,5.043598
29.52748,7.962398,5.14786
25.38627,7.85881,5.040141
22.15915,7.780645,4.942898
19.75403,7.724746,4.839247
17.6872,7.735408,4.863997
15.98969,7.650845,4.846578
14.8181,7.434785,4.937204
13.94633,7.27202,5.036457
13.3022,7.137083,5.202331
12.65923,7.055917,5.361913
12.1104,6.990847,5.455075
11.56613,6.829738,5.388501
11.10194,6.717525,5.274604
10.67539,6.632809,5.019204
10.27803,6.578082,4.988823
9.832274,6.369165,4.879474
9.349905,6.152148,4.869115
8.743395,5.950076,4.708841
