A1: Ladder,B1: P8,C1: P8 10F
0.3243289,0.1809244,0.6178837
0.3258891,0.1233115,0.5053158
0.3243942,0.1598969,0.4233665
0.2134199,0.1663365,0.481236
0.3232684,0.255868,0.4740429
0.4596682,0.3700504,0.4164252
0.5404634,0.4995551,0.6206708
0.511939,0.4961429,0.711369
0.4526772,0.4107022,0.674222
0.5040207,0.4069352,0.6752253
0.5173302,0.2609692,0.7160144
0.4317803,0.1915584,0.6553111
0.4416184,0.2174129,0.7041512
0.3187475,0.2004995,0.6570382
0.3301969,0.2466102,0.4702697
0.4039917,0.3275123,0.441071
0.3602614,0.4267783,0.4740129
0.2639589,0.3319254,0.4978595
0.2517724,0.3435383,0.4875546
0.358851,0.3550167,0.5977678
0.3835588,0.2814884,0.6455436
0.3853989,0.3185382,0.7183399
0.5243192,0.386085,0.7998881
0.3217587,0.3652844,0.7691512
0.1937532,0.4177933,0.7183471
0.1139669,0.3303509,0.8124356
0.03690338,0.3598866,0.6589694
0,0.228334,0.60743
0.0780654,0.260529,0.5439987
0.1014056,0.2555232,0.4351859
0.2208734,0.3013239,0.2978544
0.1591077,0.4369726,0.2801423
0.2061982,0.4808207,0.2226248
0.1068149,0.4647493,0.3186994
0.1034141,0.5091324,0.4290361
0.05744648,0.4041619,0.4949512
0.1271062,0.4458833,0.4850206
0.181994,0.2031612,0.567389
0.2501564,0.1018572,0.6627569
0.3085823,0.1260176,0.6516862
0.3617215,0.1168466,0.5962386
0.2826118,0.1553688,0.6125131
0.2616997,0.1467838,0.4189963
0.2335324,0.1917043,0.3380294
0.1673131,0.2354698,0.2294831
0.1055083,0.2990489,0.1585736
0.1102633,0.3603778,0.1701035
0.1226935,0.3029165,0.1131344
0.1948881,0.4813094,0.09763527
0.2780004,0.6356645,0.1436987
0.2086401,0.6361504,0.1666431
0.2280579,0.6793513,0.148489
0.1277843,0.7121367,0
0.08129883,0.8189845,0.01629877
0.07076597,0.8666549,0.06407499
0.1107969,0.8551154,0.1983314
0.1459298,0.8145928,0.2231402
0.2263165,0.8689842,0.2501364
0.2661285,0.8735652,0.298449
0.2406416,0.7580566,0.339942
0.2272844,0.7255621,0.2771606
0.2103615,0.5269418,0.07515001
0.1585569,0.4279199,0
0.1519432,0.379631,0.02244949
0.1687474,0.3989506,0.0139637
0.2052498,0.3414359,0.1185207
0.1486773,0.4166441,0.2345195
0.1390595,0.416661,0.4325151
0.1655903,0.4071324,0.4894023
0.1230407,0.4007175,0.5077629
0.1054749,0.4511018,0.4273615
0.03695202,0.2887387,0.3278513
0,0.228955,0.2906976
0.03743935,0.1135428,0.2384682
0.1078458,0.09362626,0.1499438
0.1839771,0.01104403,0.106833
0.2627373,0,0.1098633
